Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
HTTP リクエスト,1800,6617,9,21519,3550.06,0.00%,9.6,257.44,27399.0
合計,1800,6617,9,21519,3550.06,0.00%,9.6,257.44,27399.0
