Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
HTTP リクエスト,900,7624,0,36206,6966.34,37.89%,10.2,191.47,19205.8
合計,900,7624,0,36206,6966.34,37.89%,10.2,191.47,19205.8
